,season_type,week,homeTeamAbbr,homeFinalScore,visitorTeamAbbr,visitorFinalScore
180,2,13,LAR,36,CLE,19
181,2,13,PHI,19,SF,42
182,2,13,NE,0,LAC,6
183,2,13,TEN,28,IND,31
184,2,13,NYJ,8,ATL,13
185,2,13,DAL,41,SEA,35
186,2,13,NO,28,DET,33
187,2,13,PIT,10,ARI,24
188,2,13,TB,21,CAR,18
189,2,13,HOU,22,DEN,17
190,2,13,WSH,15,MIA,45
191,2,13,GB,27,KC,19
192,2,13,JAX,31,CIN,34
193,2,14,PIT,18,NE,21
194,2,14,ATL,25,TB,29
195,2,14,CLE,31,JAX,27
196,2,14,NYJ,30,HOU,6
197,2,14,LAC,7,DEN,24
198,2,14,LV,0,MIN,3
199,2,14,SF,28,SEA,16
200,2,14,BAL,37,LAR,31
201,2,14,CIN,34,IND,14
202,2,14,KC,17,BUF,20
203,2,14,CHI,28,DET,13
204,2,14,NO,28,CAR,6
205,2,14,DAL,33,PHI,13
206,2,14,MIA,27,TEN,28
207,2,14,NYG,24,GB,22
208,2,15,LV,63,LAC,21
209,2,15,BUF,31,DAL,10
210,2,15,NO,24,NYG,6
211,2,15,CLE,20,CHI,17
212,2,15,CIN,27,MIN,24
213,2,15,GB,20,TB,34
214,2,15,JAX,7,BAL,23
215,2,15,DET,42,DEN,17
216,2,15,NE,17,KC,27
217,2,15,IND,30,PIT,13
218,2,15,CAR,9,ATL,7
219,2,15,MIA,30,NYJ,0
220,2,15,LAR,28,WSH,20
221,2,15,ARI,29,SF,45
222,2,15,TEN,16,HOU,19
223,2,15,SEA,20,PHI,17
224,2,16,DEN,23,NE,26
225,2,16,MIA,22,DAL,20
226,2,16,PHI,33,NYG,25
227,2,16,KC,14,LV,20
228,2,16,LAR,30,NO,22
229,2,16,TB,30,JAX,12
230,2,16,NYJ,30,WSH,28
231,2,16,LAC,22,BUF,24
232,2,16,ATL,29,IND,10
233,2,16,PIT,34,CIN,11
234,2,16,TEN,17,SEA,20
235,2,16,HOU,22,CLE,36
236,2,16,CAR,30,GB,33
237,2,16,MIN,24,DET,30
238,2,16,CHI,27,ARI,16
239,2,16,SF,19,BAL,33
240,2,17,SEA,23,PIT,30
241,2,17,KC,25,CIN,17
242,2,17,CLE,37,NYJ,20
243,2,17,NYG,25,LAR,26
244,2,17,DAL,20,DET,19
245,2,17,BAL,56,MIA,19
246,2,17,BUF,27,NE,21
247,2,17,HOU,26,TEN,3
248,2,17,WSH,10,SF,27
249,2,17,PHI,31,ARI,35
250,2,17,CHI,37,ATL,17
251,2,17,IND,23,LV,20
252,2,17,JAX,26,CAR,0
253,2,17,DEN,16,LAC,9
254,2,17,TB,13,NO,23
255,2,17,MIN,10,GB,33
256,2,18,NO,48,ATL,17
257,2,18,ARI,20,SEA,21
258,2,18,LAC,12,KC,13
259,2,18,CAR,0,TB,9
260,2,18,CIN,31,CLE,14
261,2,18,LV,27,DEN,14
262,2,18,BAL,10,PIT,17
263,2,18,NYG,27,PHI,10
264,2,18,MIA,14,BUF,21
265,2,18,WSH,10,DAL,38
266,2,18,GB,17,CHI,9
267,2,18,IND,19,HOU,23
268,2,18,NE,3,NYJ,17
269,2,18,SF,20,LAR,21
270,2,18,DET,30,MIN,20
271,2,18,TEN,28,JAX,20
272,3,1,HOU,45,CLE,14
273,3,1,KC,26,MIA,7
274,3,1,DET,24,LAR,23
275,3,1,BUF,31,PIT,17
276,3,1,DAL,32,GB,48
277,3,1,TB,32,PHI,9
278,3,2,BAL,34,HOU,10
279,3,2,SF,24,GB,21
280,3,2,DET,31,TB,23
281,3,2,BUF,24,KC,27
282,3,3,BAL,10,KC,17
283,3,3,SF,34,DET,31
